Date,Open,High,Low,Close,Volume,50ma,200ma,Return
2000-01-03 00:00:00-05:00,1469.25,1478.0,1438.3599853515625,1455.219970703125,931800000,,,
2000-01-04 00:00:00-05:00,1455.219970703125,1455.219970703125,1397.4300537109375,1399.4200439453125,1009000000,,,-0.03834466807849768
2000-01-05 00:00:00-05:00,1399.4200439453125,1413.27001953125,1377.6800537109375,1402.1099853515625,1085500000,,,0.0019221829913671495
2000-01-06 00:00:00-05:00,1402.1099853515625,1411.9000244140625,1392.0999755859375,1403.449951171875,1092300000,,,0.0009556781096431433
2000-01-07 00:00:00-05:00,1403.449951171875,1441.469970703125,1400.72998046875,1441.469970703125,1225200000,,,0.027090399268961063
2000-01-10 00:00:00-05:00,1441.469970703125,1464.3599853515625,1441.469970703125,1457.5999755859375,1064800000,,,0.011189969413615053
2000-01-11 00:00:00-05:00,1457.5999755859375,1458.6600341796875,1434.4200439453125,1438.56005859375,1014000000,,,-0.013062511876438365
2000-01-12 00:00:00-05:00,1438.56005859375,1442.5999755859375,1427.0799560546875,1432.25,974600000,,,-0.004386371327394056
2000-01-13 00:00:00-05:00,1432.25,1454.199951171875,1432.25,1449.6800537109375,1030400000,,,0.012169700618563484
2000-01-14 00:00:00-05:00,1449.6800537109375,1473.0,1449.6800537109375,1465.1500244140625,1085900000,,,0.010671299962722536
2000-01-18 00:00:00-05:00,1465.1500244140625,1465.1500244140625,1451.300048828125,1455.1400146484375,1056700000,,,-0.00683207152771137
2000-01-19 00:00:00-05:00,1455.1400146484375,1461.3900146484375,1448.6800537109375,1455.9000244140625,1087800000,,,0.0005222932212531894
2000-01-20 00:00:00-05:00,1455.9000244140625,1465.7099609375,1438.5400390625,1445.5699462890625,1100700000,,,-0.007095321074094607
2000-01-21 00:00:00-05:00,1445.5699462890625,1453.1800537109375,1439.5999755859375,1441.3599853515625,1209800000,,,-0.0029123190810015354
2000-01-24 00:00:00-05:00,1441.3599853515625,1454.0899658203125,1395.4200439453125,1401.530029296875,1115800000,,,-0.027633593591799732
2000-01-25 00:00:00-05:00,1401.530029296875,1414.260009765625,1388.489990234375,1410.030029296875,1073700000,,,0.006064800483985611
2000-01-26 00:00:00-05:00,1410.030029296875,1412.72998046875,1400.1600341796875,1404.0899658203125,1117300000,,,-0.00421272125638672
2000-01-27 00:00:00-05:00,1404.0899658203125,1418.8599853515625,1370.989990234375,1398.56005859375,1129500000,,,-0.00393842799334565
2000-01-28 00:00:00-05:00,1398.56005859375,1398.56005859375,1356.199951171875,1360.1600341796875,1095800000,,,-0.027456829027902918
2000-01-31 00:00:00-05:00,1360.1600341796875,1394.47998046875,1350.1400146484375,1394.4599609375,993800000,,,0.025217566974388372
2000-02-01 00:00:00-05:00,1394.4599609375,1412.489990234375,1384.7900390625,1409.280029296875,981000000,,,0.01062781920924527
2000-02-02 00:00:00-05:00,1409.280029296875,1420.6099853515625,1403.489990234375,1409.1199951171875,1038600000,,,-0.00011355740261742575
2000-02-03 00:00:00-05:00,1409.1199951171875,1425.780029296875,1398.52001953125,1424.969970703125,1146500000,,,0.011248137590027962
2000-02-04 00:00:00-05:00,1424.969970703125,1435.9100341796875,1420.6300048828125,1424.3699951171875,1045100000,,,-0.000421044371651913
2000-02-07 00:00:00-05:00,1424.3699951171875,1427.1500244140625,1413.3299560546875,1424.239990234375,918100000,,,-9.127184878798822e-05
