Date,AAPL,AXP,KO,BAC,CVX,OXY,MCO,KHC,CB,DVA,KR,VRSN,V,SIRI,STZ,MA,AMZN,AON,COF,DPZ,ALLY,TMUS,CHTR,LPX,POOL,FWONK,NVR,DEO,JEF,LILA,BATRK,LILAK,NU,C
2000-01-03,0.8410475850105286,32.48729705810547,13.815733909606934,12.560279846191406,16.231277465820312,4.950774192810059,8.445454597473145,,9.716507911682129,2.2916669845581055,6.736264228820801,161.00579833984375,,372.966064453125,5.403604984283447,,4.46875,26.633460998535156,33.654762268066406,,,,,10.306178092956543,3.8182826042175293,,46.5625,14.606159210205078,4.43839168548584,,,,,210.38156127929688
2000-01-04,0.7701390981674194,31.260637283325195,13.83104419708252,11.814770698547363,16.231277465820312,4.846707820892334,8.20136547088623,,9.642057418823242,2.25,6.958581924438477,159.52381896972656,,348.0260925292969,5.200209140777588,,4.096875190734863,26.035911560058594,31.55988311767578,,,,,10.306178092956543,3.7457258701324463,,46.0,14.862403869628906,4.349111557006836,,,,,197.4808349609375
2000-01-05,0.7814085483551025,30.466659545898438,13.95357894897461,11.944418907165527,16.522424697875977,4.876439094543457,8.054906845092773,,9.083635330200195,2.0625,7.0697407722473145,150.73785400390625,,365.59747314453125,5.376486778259277,,3.487499952316284,26.80418586730957,30.831226348876953,,,,,10.489401817321777,3.7457258701324463,,45.875,15.090184211730957,4.336359977722168,,,,,205.41973876953125
2000-01-06,0.7137868404388428,31.08738136291504,13.968897819519043,12.965448379516602,17.22601890563965,5.010243892669678,8.054906845092773,,9.567601203918457,2.0,6.802956581115723,131.3663330078125,,376.3669738769531,5.586663722991943,,3.278125047683716,27.743196487426758,32.24299621582031,,,,,10.901649475097656,3.5734052658081055,,45.875,16.798503875732422,4.400129318237305,,,,,215.3433837890625
2000-01-07,0.7475979924201965,31.53996467590332,14.887900352478027,12.625103950500488,17.5293025970459,5.158914566040039,8.250184059143066,,10.796120643615723,2.2083330154418945,6.736264228820801,143.81756591796875,,370.6988220214844,5.749382019042969,,3.4781250953674316,29.194374084472656,33.1538200378418,,,,,10.810037612915039,3.5552666187286377,,46.75,16.8839168548584,4.514913082122803,,,,,214.35098266601562
2000-01-10,0.7344492077827454,31.97962760925293,14.413078308105469,12.18752384185791,17.05619239807129,4.995378017425537,8.250184059143066,,11.131175994873047,2.25,6.558407306671143,153.9134979248047,,385.4360656738281,5.532426357269287,,3.4593749046325684,20.572635650634766,32.74393844604492,,,,,10.993257522583008,3.5824737548828125,,47.375,16.684608459472656,4.476653099060059,,,,,213.6068878173828
2000-01-11,0.6968815326690674,32.27707290649414,14.903223037719727,11.928216934204102,16.89848518371582,5.188652992248535,8.347818374633789,,10.609980583190918,2.2291669845581055,6.513942718505859,140.4169464111328,,370.6988220214844,5.471404552459717,,3.3375000953674316,19.292186737060547,31.696487426757812,,,,,10.306178092956543,3.53712797164917,,47.5,16.229068756103516,4.476653099060059,,,,,210.87774658203125
2000-01-12,0.6550875306129456,32.10894775390625,15.071711540222168,12.057865142822266,16.83782386779785,5.158914566040039,8.299003601074219,,10.982259750366211,2.2083330154418945,6.602870941162109,135.85194396972656,,369.565185546875,5.51886510848999,,3.1781249046325684,19.036088943481445,32.106380462646484,,,,,10.214570999145508,3.4282913208007812,,47.8125,16.428361892700195,4.489408016204834,,,,,218.32049560546875
2000-01-13,0.7269354462623596,32.27707290649414,14.841946601867676,12.333381652832031,16.99553108215332,5.3224568367004395,8.445454597473145,,11.764050483703613,2.3125,6.758493423461914,149.04415893554688,,365.0306701660156,5.579884052276611,,3.296875,20.743364334106445,32.926109313964844,,,,,10.214570999145508,3.3194565773010254,,48.875,16.51378059387207,4.451143264770508,,,,,220.8014373779297
2000-01-14,0.7546415328979492,33.00122833251953,14.964488983154297,13.095100402832031,16.886354446411133,5.233255863189697,8.347818374633789,,12.248018264770508,2.3958330154418945,6.558407306671143,155.342529296875,,380.9015197753906,5.627343654632568,,3.2125000953674316,20.444595336914062,34.11016082763672,,,,,10.351987838745117,3.5189859867095947,,48.8125,16.172115325927734,4.400129318237305,,,,,230.22891235351562
